Path programma;Nome programma;Prima prod;Ultima prod;Cont;T lavoro;T pausa;T Pistola;Prodotto;A;B;C
2100_RS_R1_04.cma;2100_RS_R1_04;11:31:41 AM;11:33:50 AM;1;00:02:07;00:00:02;00:01:02;0.00;0;0;0
LAVAGGI\HOME_POS.cma;HOME_POS;4:07:37 PM;4:07:50 PM;1;00:00:12;00:00:02;00:00:00;0.00;0;0;0
2100_RS_R1_04.cma;2100_RS_R1_04;5:01:38 PM;5:03:51 PM;1;00:02:10;00:00:03;00:01:02;0.00;0;0;0
2100_RS_R1_04.cma;2100_RS_R1_04;5:10:51 PM;5:13:07 PM;1;00:02:10;00:00:07;00:01:02;0.00;0;0;0
2100_RS_R1_04.cma;2100_RS_R1_04;5:22:00 PM;5:24:29 PM;1;00:02:10;00:00:20;00:01:02;0.00;0;0;0
2100_RS_R1_04.cma;2100_RS_R1_04;5:25:00 PM;5:27:23 PM;1;00:02:10;00:00:14;00:01:02;0.00;0;0;0
2100_RS_R1_04.cma;2100_RS_R1_04;5:28:04 PM;5:30:26 PM;1;00:02:10;00:00:12;00:01:02;0.00;0;0;0
2100_RS_R1_04.cma;2100_RS_R1_04;5:30:50 PM;5:33:12 PM;1;00:02:10;00:00:12;00:01:02;0.00;0;0;0
2100_RS_R1_04.cma;2100_RS_R1_04;5:33:12 PM;5:35:42 PM;1;00:02:10;00:00:21;00:01:02;0.00;0;0;0
2100_RS_R1_04.cma;2100_RS_R1_04;5:38:50 PM;5:42:20 PM;1;00:02:10;00:01:21;00:01:02;0.00;0;0;0
2100_RS_R1_04.cma;2100_RS_R1_04;5:42:21 PM;5:45:23 PM;1;00:02:10;00:00:52;00:01:02;0.00;0;0;0
