Path programma;Nome programma;Prima prod;Ultima prod;Cont;T lavoro;T pausa;T Pistola;Prodotto;A;B;C
New ProgramR3.cma;New ProgramR3;2:53:58 PM;2:58:17 PM;1;00:03:38;00:00:41;00:01:36;0.00;0;0;0
New ProgramR3.cma;New ProgramR3;2:59:46 PM;3:04:27 PM;1;00:03:38;00:01:03;00:01:36;0.00;0;0;0
New ProgramR3.cma;New ProgramR3;3:04:27 PM;3:25:24 PM;1;00:03:38;00:17:19;00:01:36;0.00;0;0;0
New ProgramR3.cma;New ProgramR3;3:55:15 PM;3:59:02 PM;1;00:03:45;00:00:02;00:01:36;0.00;0;0;0
New ProgramR3.cma;New ProgramR3;4:05:25 PM;4:09:21 PM;1;00:03:38;00:00:18;00:01:36;0.00;0;0;0
New ProgramR3.cma;New ProgramR3;4:41:22 PM;4:45:17 PM;1;00:03:38;00:00:17;00:01:36;0.00;0;0;0
New ProgramR3.cma;New ProgramR3;4:48:34 PM;4:52:41 PM;1;00:03:38;00:00:29;00:01:36;0.00;0;0;0
2100.cma;2100;5:19:54 PM;5:23:51 PM;1;00:03:38;00:00:19;00:01:36;0.00;0;0;0
2100.cma;2100;6:48:20 PM;6:52:01 PM;1;00:03:39;00:00:02;00:01:36;0.00;0;0;0
2100.cma;2100;6:52:31 PM;6:56:31 PM;1;00:03:38;00:00:22;00:01:36;0.00;0;0;0
